Datum_avliden,Antal_avlidna
Uppgift saknas,19
2020-03-11,1
2020-03-12,0
2020-03-13,1
2020-03-14,1
2020-03-15,2
2020-03-16,2
2020-03-17,1
2020-03-18,6
2020-03-19,7
2020-03-20,10
2020-03-21,7
2020-03-22,12
2020-03-23,11
2020-03-24,20
2020-03-25,25
2020-03-26,29
2020-03-27,32
2020-03-28,35
2020-03-29,38
2020-03-30,44
2020-03-31,45
2020-04-01,51
2020-04-02,67
2020-04-03,79
2020-04-04,68
2020-04-05,81
2020-04-06,90
2020-04-07,78
2020-04-08,102
2020-04-09,75
2020-04-10,75
2020-04-11,74
2020-04-12,79
2020-04-13,63
2020-04-14,60
2020-04-15,56
2020-04-16,61
2020-04-17,23
2020-04-18,9
2020-04-19,1
